,Unnamed: 0.1,Unnamed: 0,ID,"Last,First",Product Name,Price,January,February,March,April,May,June,July,August,September,October,November,December,Total_sales,Commision,Salary,FirstName,lastname,NewSalary
25,25,25,26,"Ferguson, Elizabeth",Laptop,2000,4300,6153,4681.0,1235.0,3734,19374,1939,2728.0,8835,7746,4643,3427,40586.0,2029.3,5029.3,Ferguson, Elizabeth,5532.2300000000005
26,26,26,27,"Davis, William",Camera,3000,6540,4020,2648.0,1546.0,5837,20473,1438,4826.0,7463,13466,7647,4535,52503.0,2625.15,5625.15,Davis, William,6187.665
27,27,27,28,"Altman, Zoey",Computer,3000,3890,1784,6413.0,1468.0,4759,13244,1649,5539.0,7664,8567,2478,8476,45023.0,2251.15,5251.15,Altman, Zoey,5776.264999999999
28,28,28,29,"Albertson, Kathy",Mobile,1000,5900,5000,4831.0,1468.0,2753,10923,1836,2728.0,3652,4678,8575,3458,41227.0,2061.35,5061.35,Albertson, Kathy,5567.485000000001
29,29,29,30,"Allenson, Carol",Calculator,500,7903,3500,8353.0,1468.0,3973,13644,1378,3874.0,4853,9578,4987,9674,54688.0,2734.4,5734.4,Allenson, Carol,6307.839999999999
30,30,30,31,"David, Chloe",Laptop,2000,6379,4200,5854.0,1464.0,11384,15392,1283,2845.0,7840,3357,2322,3478,42566.0,2128.3,5128.3,David, Chloe,5641.13
31,31,31,32,"Brennan, Micheal",Camera,3000,5745,8674,3257.0,1725.0,5369,17385,1876,3246.0,9569,6538,1043,5563,43036.0,2151.8,5151.8,Brennan, Micheal,5666.9800000000005
32,32,32,33,"Flores, Tia",Computer,3000,3654,4577,4535.0,1988.0,13076,13567,1967,9765.0,10044,3258,3234,6532,52586.0,2629.3,5629.3,Flores, Tia,6192.2300000000005
33,33,33,34,"Jameson, Robinson",Mobile,1000,8567,2352,,1336.0,9642,15756,1345,6346.0,9673,6423,2876,7463,,,,Jameson, Robinson,
34,34,34,35,"Bittiman, William",Calculator,500,5653,6754,2345.0,1979.0,7445,17894,1356,3478.0,8675,3465,2486,8673,43634.0,2181.7000000000003,5181.700000000001,Bittiman, William,5699.870000000001
35,35,35,36,"Ferguson, Elizabeth",Laptop,2000,8563,7534,2344.0,1534.0,9844,12978,1864,8567.0,4567,7652,3675,9872,61449.0,3072.4500000000003,6072.450000000001,Ferguson, Elizabeth,6679.695000000001
36,36,36,37,"Davis, William",Camera,3000,9077,5479,6754.0,1200.0,5338,10500,1245,4578.0,3456,4763,5347,3465,47246.0,2362.3,5362.3,Davis, William,5898.530000000001
37,37,37,38,"Counts, Elizabeth",Computer,3000,2354,7967,2342.0,1895.0,3235,19065,1674,2565.0,9876,6378,2765,5254,36429.0,1821.45,4821.45,Counts, Elizabeth,5303.594999999999
38,38,38,39,"Albertson, Kathy",Mobile,1000,9787,3465,7657.0,1570.0,7663,16534,1456,7467.0,10785,3246,5013,6345,53669.0,2683.4500000000003,5683.450000000001,Albertson, Kathy,6251.795000000001
39,39,39,40,"David, Chloe",Calculator,500,2354,7534,9879.0,1943.0,2548,13900,1864,4593.0,11457,3246,2675,7468,44104.0,2205.2000000000003,5205.200000000001,David, Chloe,5725.720000000001
40,40,40,41,"Flores, Tia",Laptop,2000,5445,5479,3566.0,1546.0,4586,12654,1534,8461.0,14235,2857,9867,10646,53987.0,2699.3500000000004,5699.35,Flores, Tia,6269.285000000001
41,41,41,42,"Brennan, Micheal",Camera,3000,2563,4543,7564.0,1324.0,9674,12366,1645,3941.0,3346,8763,5435,4237,49689.0,2484.4500000000003,5484.450000000001,Brennan, Micheal,6032.895
42,42,42,43,"Jameson, Robinson",Computer,3000,8657,9878,4676.0,1235.0,4357,18657,1673,4653.0,9835,2545,6245,5377,49296.0,2464.8,5464.8,Jameson, Robinson,6011.280000000001
43,43,43,44,"Bittiman, William",Mobile,1000,6854,3435,9676.0,1546.0,6467,19676,1355,8564.0,7954,1345,7895,6476,53613.0,2680.65,5680.65,Bittiman, William,6248.714999999999
44,44,44,45,"Altman, Zoey",Calculator,500,4578,6799,9347.0,,7645,13874,1676,5347.0,9756,10433,4643,4238,,,,Altman, Zoey,
45,45,45,46,"Allenson, Carol",Laptop,2000,9674,7856,3578.0,1846.0,6456,17548,1543,7656.0,3567,8753,9835,8568,65765.0,3288.25,6288.25,Allenson, Carol,6917.075
46,46,46,47,"Albertson, Kathy",Camera,3000,2355,6856,3748.0,2335.0,3458,15087,1874,3563.0,7645,12876,5347,6987,49399.0,2469.9500000000003,5469.950000000001,Albertson, Kathy,6016.945000000001
47,47,47,48,"David, Chloe",Computer,3000,8563,8533,9735.0,1867.0,7865,12987,1647,8765.0,6646,6463,8643,9546,71627.0,3581.3500000000004,6581.35,David, Chloe,7239.485000000001
48,48,48,49,"Brennan, Micheal",Mobile,1000,6334,5365,2477.0,1968.0,3465,13987,1356,4353.0,7634,2597,7345,8769,44029.0,2201.4500000000003,5201.450000000001,Brennan, Micheal,5721.595000000001
49,49,49,50,"Counts, Elizabeth",Calculator,500,8645,6785,9845.0,1224.0,7563,19608,1653,,10789,3863,4867,7568,,,,Counts, Elizabeth,
